name	genres	# Spotify followers	# RYM followers	mean RYM rating	current location	RYM url	Spotify url
RVINES		None	5	3.37		https://rateyourmusic.com/artist/rvines	None
Ryan Cassata	Singer-Songwriter	24152	6	1.72	Los Angeles, CA, United States	https://rateyourmusic.com/artist/ryan-cassata	https://open.spotify.com/artist/0tFlCZaGI6bC1XxtfzIhmG
Ryann Slauson		None	0	0.0		https://rateyourmusic.com/artist/ryann-slauson	None
Sadie Switchblade		None	5	0.0	Olympia, WA, United States	https://rateyourmusic.com/artist/sadie-switchblade	None
Sage Thrasher	Ambient, Drone, New Age	None	31	3.63	Columbus, OH, United States	https://rateyourmusic.com/artist/sage-thrasher	None
Saint Wellesley	Folk Punk	2732	1	4.0		https://rateyourmusic.com/artist/saint-wellesley	https://open.spotify.com/artist/5sMNbIyT8Uzg51gx65UvH6
Sajon	Vaportrap	24	14	3.52	Sankt Gallen, Sankt Gallen, Switzerland	https://rateyourmusic.com/artist/sajon	https://open.spotify.com/artist/0xF2YjPgc3alqIRUUH6GBe
Saline	Alternative Rock	1	4	3.49	Brisbane, QLD, Australia	https://rateyourmusic.com/artist/saline	https://open.spotify.com/artist/3aud5Yqp6e84REqOOczNxh
Sam Bettens	Pop Rock, Singer-Songwriter, Alternative Rock	None	81	3.14	Palm City, CA, United States	https://rateyourmusic.com/artist/sam-bettens	None
Sam Rosenthal	Ambient, Electronic, Darkwave	412	74	3.09	Portland, OR, United States	https://rateyourmusic.com/artist/sam-rosenthal	https://open.spotify.com/artist/0D76GidXzJyteIsEvApOXv
Sam Smith	Pop Soul, Contemporary R&B, Pop, Adult Contemporary, Electropop, Dance-Pop	23444886	1764	2.37	London, Greater London, United Kingdom	https://rateyourmusic.com/artist/sam-smith	https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI
sandcastles.	Trap	48	2	2.5	SC, United States	https://rateyourmusic.com/artist/sandcastles_	https://open.spotify.com/artist/5Wg5VI0j7bRKPrTevdinxx
Sanguinária	Black Metal	None	23	2.86		https://rateyourmusic.com/artist/sanguinaria-1	None
Sankaku	Black Metal	172	106	3.35		https://rateyourmusic.com/artist/sankaku	https://open.spotify.com/artist/3nRMY1LXRPQrwpm2q7nXVd
saoirse dream	Hyperpop, Digicore, Dariacore	6732	371	3.51	Portland, OR, United States	https://rateyourmusic.com/artist/saoirse-dream	https://open.spotify.com/artist/2xNs2zfnh52ORUTI4Qfvxf
Sarah and the Safe Word	Alternative Rock, Dark Cabaret	20936	33	3.23		https://rateyourmusic.com/artist/sarah-and-the-safe-word	https://open.spotify.com/artist/4YguD206MPuadAlhnGppL3
Sarah Kirsch		None	1	0.0		https://rateyourmusic.com/artist/sarah-kirsch	None
