name	genres	# Spotify followers	# RYM followers	mean RYM rating	current location	RYM url	Spotify url
twistCMYK	Atmospheric Drum and Bass, Breakbeat	None	18	1.9	TX, United States	https://rateyourmusic.com/artist/twistcmyk	None
Two Steps on the Water	Indie Folk, Chamber Folk	1751	52	3.5		https://rateyourmusic.com/artist/two-steps-on-the-water	https://open.spotify.com/artist/2N44Nn14sJHE2rlw0fR4SQ
Twompsax	Garage Punk, Punk Rock	4527	40	3.49	Oakland, CA, United States	https://rateyourmusic.com/artist/twompsax	https://open.spotify.com/artist/2TfGBEanVxRgedMa4PXuIo
Uboa	Dark Ambient, Death Industrial, Harsh Noise, Sludge Metal, Darkwave, Atmospheric Sludge Metal	19453	6293	3.63	Melbourne, VIC, Australia	https://rateyourmusic.com/artist/uboa	https://open.spotify.com/artist/4ioovQ90tEAnJiQryAtkXl
Umbilichaos	Sludge Metal, Drone Metal, Atmospheric Sludge Metal	240	25	3.01	Mairiporã, São Paulo, Brazil	https://rateyourmusic.com/artist/umbilichaos	https://open.spotify.com/artist/58d9TwxgKIsBx70fQFaQDs
uncertain	Dark Ambient, Black Ambient, Black Noise, Drone, Ritual Ambient, Industrial	126	74	3.33	Buffalo, NY, United States	https://rateyourmusic.com/artist/uncertain	https://open.spotify.com/artist/6Dw1b122GWF3XvicDEeb8n
underscores	Indietronica, Glitch Pop, Future Bass, Indie Rock, Hyperpop, Indie Pop	76392	7921	3.57	New York, NY, United States	https://rateyourmusic.com/artist/underscores	https://open.spotify.com/artist/7HfUJxeVTgrvhk0eWHFzV7
valyri	Progressive Electronic, Electroacoustic, Ambient, Glitch, Glitch Pop, Experimental	323	422	3.41	Raleigh, NC, United States	https://rateyourmusic.com/artist/valyri	https://open.spotify.com/artist/4DFsZuHjDqoyeIWYKxCMgx
Varien	Brostep, Electronic Dance Music, Midtempo Bass, Electro House, Symphonic Metal, Electronic	85990	236	3.09		https://rateyourmusic.com/artist/varien	https://open.spotify.com/artist/2g1JSu9UfRcQQYb3b03Km7
VCF Freq	Minimal Techno	None	16	2.79		https://rateyourmusic.com/artist/vcf-freq	None
Vektroid	Chillwave, Vaporwave, Tape Music, Glitch, Drone, Progressive Electronic, Electronic, Ambient, Chillwave, Vaporwave	17407	1641	3.37	Portland, OR, United States	https://rateyourmusic.com/artist/vektroid	https://open.spotify.com/artist/0aHFAt3c3C648WXJP7GCRc
Victory Over the Sun	Black Metal, Avant-Garde Metal, Progressive Metal, Sludge Metal, Post-Metal	2035	1170	3.41	Portland, OR, United States	https://rateyourmusic.com/artist/victory-over-the-sun	https://open.spotify.com/artist/2vG7QQCKvHo8pnhcseDtSD
Vile Creature	Sludge Metal, Doom Metal	9598	586	3.39	Hamilton, ON, Canada	https://rateyourmusic.com/artist/vile-creature	https://open.spotify.com/artist/7Ab8HLYrBEa9uzNewNInR6
Villano Antillano	Pop Rap, Reggaetón, Trap latino, Trap	166173	462	3.51		https://rateyourmusic.com/artist/villano-antillano	https://open.spotify.com/artist/1pi7nGhOM7PTHR5YEgXVGq
Violent Pastels	Thrash Metal	None	8	3.31		https://rateyourmusic.com/artist/violent_pastels	None
Virtual Intelligence	Electro-Industrial, Dark Electro	134	12	3.01	AZ, United States	https://rateyourmusic.com/artist/virtual-intelligence	https://open.spotify.com/artist/1teTf4iRrk2TP6P6cTyHPO
Vivek Shraya		1928	7	3.54	Toronto, ON, Canada	https://rateyourmusic.com/artist/vivek_shraya	https://open.spotify.com/artist/0LBvYwhPCb8BxAqRi6ewNK
Vivid Illusion	Post-Metal, Post-Rock	198	24	3.18	Boston, MA, United States	https://rateyourmusic.com/artist/vivid-illusion	https://open.spotify.com/artist/5oFGoQ7CoJ2PBPXrt9gqRN
Vurdala'ka	Black Metal	None	2	2.7	Girona, Catalunya, Spain	https://rateyourmusic.com/artist/vurdalaka	None
Vylet Pony	Electropop, Synthpop, Art Pop, Electronic Dance Music, Brostep, Alternative R&B	29443	2973	3.5	Portland, OR, United States	https://rateyourmusic.com/artist/vylet-pony	https://open.spotify.com/artist/1kM5BZXs7FFN8Dj1WpgH2j
Vyva Melinkolya	Shoegaze, Slowcore, Dream Pop, Ambient Pop	5165	998	3.44	Pittsburgh, PA, United States	https://rateyourmusic.com/artist/vyva-melinkolya	https://open.spotify.com/artist/4Xqfu74FUnmBMe9V13QTUX
WangleLine	Ambient, Electronic, IDM, Electronic Dance Music, Deconstructed Club	1374	55	3.39		https://rateyourmusic.com/artist/wangleline	https://open.spotify.com/artist/0EgvUAinWl9a5SxqkdrWl5
Waves Ablaze	Alternative Metal, Post-Rock	30	21	3.34	Grand Junction, CO, United States	https://rateyourmusic.com/artist/waves-ablaze	https://open.spotify.com/artist/5rwmNJxWcJRrteGSa11Y5Y
We Arc Fire	Experimental	None	1	0.0	United States	https://rateyourmusic.com/artist/we-arc-fire	None
We Are the Union	Ska Punk, Pop Punk, Skacore	23118	201	3.2		https://rateyourmusic.com/artist/we-are-the-union	https://open.spotify.com/artist/4AAXAVOZ3fw7M8ILLrKLvs
Weatherday	Slacker Rock, Noise Pop, Emo, Midwest Emo	68763	13578	3.7		https://rateyourmusic.com/artist/weatherday	https://open.spotify.com/artist/6pmR08TKSTs8rll6W99VnK
WeirdoOnTheBus System	Glitch, Ambient, Field Recordings	None	18	3.19	Chicago, IL, United States	https://rateyourmusic.com/artist/weirdoonthebus-system	None
Wench	Deconstructed Club, Experimental Hip Hop, Glitch Hop, Epic Collage	None	285	3.59		https://rateyourmusic.com/artist/wench-1	None
Wendy Carlos	Electronic, Moogsploitation, Baroque Music, Progressive Electronic, Film Score, Film Soundtrack	None	2930	3.61	New York, NY, United States	https://rateyourmusic.com/artist/wendy-carlos	None
Wesley Tucker		2754	3	3.92	Los Angeles, CA, United States	https://rateyourmusic.com/artist/wesley-tucker	https://open.spotify.com/artist/6shpIB3ymIWJr3rWVsorKk
White Mascara	Post-Punk	None	4	3.48	Portland, OR, United States	https://rateyourmusic.com/artist/white-mascara	None
Wildebeest	Psychedelic Rock, Drone	4	2	0.0		https://rateyourmusic.com/artist/wildebeest_f2	https://open.spotify.com/artist/1MsnycFLW05oDXM9aMAZPr
Winds of Genocide	Crust Punk, Death Metal, Stenchcore	288	42	3.25		https://rateyourmusic.com/artist/winds_of_genocide	https://open.spotify.com/artist/1xOqIpt0HXJ6EbLZwiq92D
Winter Lantern	Atmospheric Black Metal, Black Metal	4356	93	3.23	Greensboro, NC, United States	https://rateyourmusic.com/artist/winter-lantern	https://open.spotify.com/artist/4HABZGNhhI6zD6tWl7yF4H
Winter Sisters	Indie Folk, Avant-Folk	26	23	2.85	Canada	https://rateyourmusic.com/artist/winter-sisters	https://open.spotify.com/artist/42aW1Mwy1XnarfdGzDvh5r
Witch of Izalith	Black Metal	None	2	3.0	MI, United States	https://rateyourmusic.com/artist/witch-of-izalith	None
Wolf Circus	Indie Pop, Synthpop, Bedroom Pop, Slacker Rock, Power Pop	None	302	3.28		https://rateyourmusic.com/artist/wolf-circus	None
Wolf Helvetica	Industrial	57	1	4.0		https://rateyourmusic.com/artist/wolf-helvetica	https://open.spotify.com/artist/4Fem34BEaUFwSHPRe9PzSl
Wolven Daughter	Black Metal	None	10	2.52	Lexington, KY, United States	https://rateyourmusic.com/artist/wolven-daughter	None
Worriers	Pop Punk, Indie Rock, Punk Rock, Power Pop, Singer-Songwriter	19042	191	3.38	Philadelphia, PA, United States	https://rateyourmusic.com/artist/worriers	https://open.spotify.com/artist/55Z2PiiE80rBOkkL1wyNPD
WOW OK	Electronic	789	25	3.58	United States	https://rateyourmusic.com/artist/wow-ok	https://open.spotify.com/artist/0GDsF5SXqyoGazKe2QaRBX
Wrk Ethic	Hip Hop	None	25	3.42		https://rateyourmusic.com/artist/wrk-ethic	None
xaev	Dariacore, Mashup, Complextro, Future Bass, Electronic Dance Music, Colour Bass	5890	1161	3.55	Sydney, NSW, Australia	https://rateyourmusic.com/artist/xaev	https://open.spotify.com/artist/10zsHcOcO047KmhOhi57iL
XXX Maniak	Goregrind, Deathgrind	None	176	3.04		https://rateyourmusic.com/artist/xxx-maniak	None
Yamari	Cloud Rap, Experimental Hip Hop, PluggnB, HexD	105	110	3.51		https://rateyourmusic.com/artist/yamari	https://open.spotify.com/artist/61LPq6IxcGRSW9ALWM3xoY
Yesten's Legacy	Electronic Dance Music, Electronic, Drum and Bass, Nightcore, Sequencer & Tracker, Chiptune	26	35	3.06	Voisins-le-Bretonneux, Île-de-France, France	https://rateyourmusic.com/artist/yestens-legacy	https://open.spotify.com/artist/5PR8dvusJ08tUXmCGSf2Dq
yeule	Ambient Pop, Synthpop, Dream Pop, Chillwave, Glitch Pop, Art Pop	168892	13667	3.67	Los Angeles, CA, United States	https://rateyourmusic.com/artist/yeule	https://open.spotify.com/artist/1WZarnZpWEv7dDtjAETt4X
Ye†axa	Slacker Rock	None	3	2.58	United Kingdom	https://rateyourmusic.com/artist/ye†axa	None
Your Heart Breaks	Indie Pop, Slacker Rock, Indie Folk, Avant-Folk	2322	111	3.51	Seattle, WA, United States	https://rateyourmusic.com/artist/your_heart_breaks	https://open.spotify.com/artist/1NBJbUP8o1MfB27jl84eeP
Yves Tumor	Neo-Psychedelia, Art Rock, Hypnagogic Pop, Post-Punk, Ambient, Sound Collage	350155	23265	3.65	Los Angeles, CA, United States	https://rateyourmusic.com/artist/yves-tumor	https://open.spotify.com/artist/0qu422H5MOoQxGjd4IzHbS
‡ black-stag’s-lament ‡	Experimental	None	5	3.39	Buffalo, NY, United States	https://rateyourmusic.com/artist/‡-black-stag’s-lament-‡	None
∆K†I◯N †4	Witch House	None	3	2.68		https://rateyourmusic.com/artist/∆k†i◯n_†4	None
✰Shukaara✰	Electronic	None	2	3.5	Mount Vernon, OH, United States	https://rateyourmusic.com/artist/✰shukaara✰	None
佳館杏ノ助		None	1	2.5		https://rateyourmusic.com/artist/佳館杏ノ助	None
莉犬		None	1	0.0		https://rateyourmusic.com/artist/莉犬	None
青木志貴		None	8	3.51	Japan	https://rateyourmusic.com/artist/青木志貴	None
